Human Ensembl,Mouse Ensembl,Mouse Gene,Mouse Uniprot,Human Gene,Human Uniprot
ENSG00000148308,ENSMUSG00000026816,Gtf3c5,Q8R2T8,GTF3C5,Q9Y5Q8
ENSG00000148331,ENSMUSG00000039483,Asb6,Q91ZU1,ASB6,Q9NWX5
ENSG00000148334,ENSMUSG00000026820,Ptges2,Q8BWM0,PTGES2,Q9H7Z7
ENSG00000148335,ENSMUSG00000026857,Ntmt1,Q8R2U4,NTMT1,Q9BV86
ENSG00000148339,ENSMUSG00000026819,Slc25a25,A2ASZ8,SLC25A25,Q6KCM7
ENSG00000148341,ENSMUSG00000026860,Sh3glb2,Q8R3V5,SH3GLB2,Q9NR46
ENSG00000148343,ENSMUSG00000026858,Miga2,Q8BK03,MIGA2,Q7L4E1
ENSG00000148344,ENSMUSG00000050737,Ptges,Q9JM51,PTGES,O14684
ENSG00000148346,ENSMUSG00000026822,Lcn2,P11672,LCN2,P80188
ENSG00000148356,ENSMUSG00000026792,Lrsam1,Q80ZI6,LRSAM1,Q6UWE0
ENSG00000148357,ENSMUSG00000055632,Hmcn2,A2AJ76,HMCN2,Q8NDA2
ENSG00000148358,ENSMUSG00000000194,Gpr107,Q8BUV8,GPR107,Q5VW38
ENSG00000148362,ENSMUSG00000047617,Paxx,Q8K0Y7,PAXX,Q9BUH6
ENSG00000148377,ENSMUSG00000021148,Idi2l,Q8BFZ6,IDI2,Q9BXS1
ENSG00000148384,ENSMUSG00000026925,Inpp5e,Q9JII1,INPP5E,Q9NRR6
ENSG00000148386,ENSMUSG00000023210,Lcn9,Q9D267,LCN9,Q8WX39
ENSG00000148396,ENSMUSG00000026924,Sec16a,E9QAT4,SEC16A,O15027
ENSG00000148399,ENSMUSG00000026975,Dph7,Q9CYU6,DPH7,Q9BTV6
ENSG00000148400,ENSMUSG00000026923,Notch1,Q01705,NOTCH1,P46531
ENSG00000148408,ENSMUSG00000004113,Cacna1b,O55017,CACNA1B,Q00975
ENSG00000148411,ENSMUSG00000026932,Nacc2,Q9DCM7,NACC2,Q96BF6
ENSG00000148426,ENSMUSG00000045319,Proser2,Q8C5R2,PROSER2,Q86WR7
ENSG00000148429,ENSMUSG00000039046,Usp6nl,Q80XC3,USP6NL,Q92738
ENSG00000148444,ENSMUSG00000051154,Commd3,Q63829,COMMD3,Q9UBI1
ENSG00000148450,ENSMUSG00000023094,Msrb2,Q78J03,MSRB2,Q9Y3D2
ENSG00000148459,ENSMUSG00000026784,Pdss1,Q33DR2,PDSS1,Q5T2R2
ENSG00000148481,ENSMUSG00000026767,Mindy3,Q9CV28,MINDY3,Q9H8M7
ENSG00000148482,ENSMUSG00000036949,Slc39a12,Q5FWH7,SLC39A12,Q504Y0
ENSG00000148483,ENSMUSG00000061531,Tmem236,A2ARJ3,TMEM236,Q5W0B7
ENSG00000148488,ENSMUSG00000003418,St8sia6,Q8K4T1,ST8SIA6,P61647
ENSG00000148498,ENSMUSG00000025812,Pard3,Q99NH2,PARD3,Q8TEW0
ENSG00000148516,ENSMUSG00000024238,Zeb1,Q64318,ZEB1,P37275
ENSG00000148541,ENSMUSG00000043259,Fam13c,Q9DBR2,FAM13C,Q8NE31
ENSG00000148572,ENSMUSG00000075000,Nrbf2,Q8VCQ3,NRBF2,Q96F24
ENSG00000148584,ENSMUSG00000052595,A1cf,Q5YD48,A1CF,Q9NQ94
ENSG00000148600,ENSMUSG00000021803,Cdhr1,Q8VHP6,CDHR1,Q96JP9
ENSG00000148602,ENSMUSG00000041044,Lrit1,Q8K099,LRIT1,Q9P2V4
ENSG00000148604,ENSMUSG00000021804,Rgr,Q9Z2B3,RGR,P47804
ENSG00000148634,ENSMUSG00000020064,Herc4,Q6PAV2,HERC4,Q5GLZ8
ENSG00000148655,ENSMUSG00000063458,Lrmda,Q9D9B4,LRMDA,Q9H2I8
ENSG00000148660,ENSMUSG00000021820,Camk2g,Q923T9,CAMK2G,Q13555
ENSG00000148672,ENSMUSG00000021794,Glud1,P26443,GLUD1,P00367
ENSG00000148677,ENSMUSG00000024803,Ankrd1,Q9CR42,ANKRD1,Q15327
ENSG00000148680,ENSMUSG00000024798,Htr7,P32304,HTR7,P34969
ENSG00000148688,ENSMUSG00000024800,Rpp30,O88796,RPP30,P78346
ENSG00000148690,ENSMUSG00000054237,Fra10ac1,Q8BP78,FRA10AC1,Q70Z53
ENSG00000148700,ENSMUSG00000025026,Add3,Q9QYB5,ADD3,Q9UEY8
ENSG00000148704,ENSMUSG00000006270,Vax1,Q2NKI2,VAX1,Q5SQQ9
ENSG00000148719,ENSMUSG00000020109,Dnajb12,Q9QYI4,DNAJB12,Q9NXW2
ENSG00000148730,ENSMUSG00000020091,Eif4ebp2,P70445,EIF4EBP2,Q13542
ENSG00000148735,ENSMUSG00000035818,Plekhs1,Q8BW88,PLEKHS1,Q5SXH7
ENSG00000148737,ENSMUSG00000024985,Tcf7l2,Q924A0,TCF7L2,Q9NQB0
ENSG00000148773,ENSMUSG00000031004,Mki67,E9PVX6,MKI67,P46013
ENSG00000148795,ENSMUSG00000003555,Cyp17a1,P27786,CYP17A1,P05093
ENSG00000148798,ENSMUSG00000034336,Ina,P46660,INA,Q16352
ENSG00000148803,ENSMUSG00000025466,Fuom,Q8R2K1,FUOM,A2VDF0
ENSG00000148814,ENSMUSG00000015980,Lrrc27,Q80YS5,LRRC27,Q9C0I9
ENSG00000148824,ENSMUSG00000039018,Mtg1,Q8R2R6,MTG1,Q9BT17
ENSG00000148832,ENSMUSG00000025464,Paox,Q8C0L6,PAOX,Q6QHF9
ENSG00000148834,ENSMUSG00000025068,Gsto1,O09131,GSTO1,P78417
ENSG00000148840,ENSMUSG00000055491,Pprc1,Q6NZN1,PPRC1,Q5VV67
ENSG00000148841,ENSMUSG00000117975,Itprip,Q3TNL8,ITPRIP,Q8IWB1
ENSG00000148842,ENSMUSG00000064105,Cnnm2,Q3TWN3,CNNM2,Q9H8M5
ENSG00000148843,ENSMUSG00000025047,Pdcd11,Q6NS46,PDCD11,Q14690
ENSG00000148848,ENSMUSG00000054555,Adam12,Q61824,ADAM12,O43184
ENSG00000148908,ENSMUSG00000030844,Rgs10,Q9CQE5,RGS10,O43665
ENSG00000148925,ENSMUSG00000038187,Btbd10,Q80X66,BTBD10,Q9BSF8
ENSG00000148926,ENSMUSG00000030790,Adm,P97297,ADM,P35318
ENSG00000148935,ENSMUSG00000030498,Gas2,P11862,GAS2,O43903
ENSG00000148942,ENSMUSG00000041644,Slc5a12,Q49B93,SLC5A12,Q1EHB4
ENSG00000148943,ENSMUSG00000027162,Lin7c,O88952,LIN7C,Q9NUP9
ENSG00000148948,ENSMUSG00000050587,Lrrc4c,Q8C031,LRRC4C,Q9HCJ2
ENSG00000148950,ENSMUSG00000042670,Immp1l,Q9CQU8,IMMP1L,Q96LU5
ENSG00000148965,ENSMUSG00000040017,Saa4,P31532,SAA4,P35542
ENSG00000148985,ENSMUSG00000030990,Pgap2,Q3TQR0,PGAP2,Q9UHJ9
ENSG00000149016,ENSMUSG00000071645,Tut1,Q8R3F9,TUT1,Q9H6E5
ENSG00000149021,ENSMUSG00000024653,Scgb1a1,Q06318,SCGB1A1,P11684
ENSG00000149043,ENSMUSG00000031098,Syt8,Q9R0N6,SYT8,Q8NBV8
ENSG00000149084,ENSMUSG00000027195,Hsd17b12,O70503,HSD17B12,Q53GQ0
ENSG00000149089,ENSMUSG00000010911,Apip,Q9WVQ5,APIP,Q96GX9
ENSG00000149090,ENSMUSG00000027188,Pamr1,Q8BU25,PAMR1,Q6UXH9
ENSG00000149091,ENSMUSG00000040479,Dgkz,Q80UP3,DGKZ,Q13574
ENSG00000149100,ENSMUSG00000027170,Eif3m,Q99JX4,EIF3M,Q7L2H7
ENSG00000149115,ENSMUSG00000033955,Tnks1bp1,P58871,TNKS1BP1,Q9C0C2
ENSG00000149124,ENSMUSG00000063683,Glyat,Q91XE0,GLYAT,Q6IB77
ENSG00000149131,ENSMUSG00000023224,Serping1,P97290,SERPING1,P05155
ENSG00000149136,ENSMUSG00000027067,Ssrp1,Q08943,SSRP1,Q08945
ENSG00000149150,ENSMUSG00000027075,Slc43a1,Q8BSM7,SLC43A1,O75387
ENSG00000149177,ENSMUSG00000025314,Ptprj,Q64455,PTPRJ,Q12913
ENSG00000149179,ENSMUSG00000040591,Cstpp1,Q8BHR8,CSTPP1,Q9H6J7
ENSG00000149182,ENSMUSG00000027255,Arfgap2,Q99K28,ARFGAP2,Q8N6H7
ENSG00000149187,ENSMUSG00000005506,Celf1,P28659,CELF1,Q92879
ENSG00000149196,ENSMUSG00000062797,Hikeshi,Q9DD02,HIKESHI,Q53FT3
ENSG00000149201,ENSMUSG00000039391,Ccdc81,Q9D5W4,CCDC81,Q6ZN84
ENSG00000149212,ENSMUSG00000032009,Sesn3,Q9CYP7,SESN3,P58005
ENSG00000149218,ENSMUSG00000037419,Endod1,Q8C522,ENDOD1,O94919
ENSG00000149231,ENSMUSG00000079084,Ccdc82,Q6PG04,CCDC82,Q8N4S0
ENSG00000149243,ENSMUSG00000035298,Klhl35,Q9CZ49,KLHL35,Q6PF15
ENSG00000149256,ENSMUSG00000048078,Tenm4,Q3UHK6,TENM4,Q6N022
ENSG00000149257,ENSMUSG00000070436,Serpinh1,P19324,SERPINH1,P50454
ENSG00000149260,ENSMUSG00000035547,Capn5,O08688,CAPN5,O15484
ENSG00000149262,ENSMUSG00000025133,Ints4,Q8CIM8,INTS4,Q96HW7
ENSG00000149273,ENSMUSG00000030744,Rps3,P62908,RPS3,P23396
ENSG00000149289,ENSMUSG00000035164,Zc3h12c,Q5DTV4,ZC3H12C,Q9C0D7
ENSG00000149292,ENSMUSG00000040219,Ttc12,Q8BW49,TTC12,Q9H892
ENSG00000149295,ENSMUSG00000032259,Drd2,P61168,DRD2,P14416
ENSG00000149300,ENSMUSG00000032062,2310030G06Rik,Q9D8L0,C11orf52,Q96A22
ENSG00000149305,ENSMUSG00000008590,Htr3b,Q9JHJ5,HTR3B,O95264
ENSG00000149308,ENSMUSG00000033054,Npat,Q8BMA5,NPAT,Q14207
ENSG00000149311,ENSMUSG00000034218,Atm,Q62388,ATM,Q13315
ENSG00000149313,ENSMUSG00000025894,Aasdhppt,Q9CQF6,AASDHPPT,Q9NRN7
ENSG00000149346,ENSMUSG00000027281,Slx4ip,Q9D7Y9,SLX4IP,Q5VYV7
ENSG00000149357,ENSMUSG00000030842,Lamtor1,Q9CQ22,LAMTOR1,Q6IAA8
ENSG00000149403,ENSMUSG00000032017,Grik4,Q8BMF5,GRIK4,Q16099
ENSG00000149418,ENSMUSG00000031995,St14,P56677,ST14,Q9Y5Y6
ENSG00000149428,ENSMUSG00000032115,Hyou1,Q9JKR6,HYOU1,Q9Y4L1
ENSG00000149435,ENSMUSG00000006345,Ggt1,Q60928,GGTLC1,Q9BX51
ENSG00000149451,ENSMUSG00000027318,Adam33,Q923W9,ADAM33,Q9BZ11
ENSG00000149452,ENSMUSG00000063796,Slc22a8,O88909,SLC22A8,Q8TCC7
ENSG00000149474,ENSMUSG00000027425,Kat14,Q8CID0,KAT14,Q9H8E8
ENSG00000149476,ENSMUSG00000034371,Tkfc,Q8VC30,TKFC,Q3LXA3
ENSG00000149480,ENSMUSG00000071646,Mta2,Q9R190,MTA2,O94776
ENSG00000149483,ENSMUSG00000024666,Tmem138,Q9D6G5,TMEM138,Q9NPI0
ENSG00000149485,ENSMUSG00000010663,Fads1,Q920L1,FADS1,O60427
ENSG00000149488,ENSMUSG00000060332,Tmc2,Q8R4P4,TMC2,Q8TDI7
ENSG00000149489,ENSMUSG00000071648,Rom1,P32958,ROM1,Q03395
ENSG00000149499,ENSMUSG00000071647,Eml3,Q8VC03,EML3,Q32P44
ENSG00000149503,ENSMUSG00000024660,Incenp,Q9WU62,INCENP,Q9NQS7
ENSG00000149506,ENSMUSG00000024734,Zp1,Q62005,ZP1,P60852
ENSG00000149507,ENSMUSG00000055895,Oosp2,Q4FZG8,OOSP2,Q86WS3
ENSG00000149516,ENSMUSG00000024681,Ms4a3,Q920C4,MS4A3,Q96HJ5
ENSG00000149527,ENSMUSG00000029055,Plch2,A2AP18,PLCH2,O75038
ENSG00000149532,ENSMUSG00000034820,Cpsf7,Q8BTV2,CPSF7,Q8N684
ENSG00000149534,ENSMUSG00000024680,Ms4a2,P20490,MS4A2,Q01362
ENSG00000149541,ENSMUSG00000071649,B3gat3,P58158,B3GAT3,O94766
ENSG00000149547,ENSMUSG00000062762,Ei24,Q61070,EI24,O14681
ENSG00000149548,ENSMUSG00000034303,Ccdc15,Q8C9M2,CCDC15,Q0P6D6
ENSG00000149554,ENSMUSG00000032113,Chek1,O35280,CHEK1,O14757
ENSG00000149557,ENSMUSG00000032118,Fez1,Q8K0X8,FEZ1,Q99689
ENSG00000149564,ENSMUSG00000001946,Esam,Q925F2,ESAM,Q96AP7
ENSG00000149571,ENSMUSG00000032036,Kirrel3,Q8BR86,KIRREL3,Q8IZU9
ENSG00000149575,ENSMUSG00000070304,Scn2b,Q56A07,SCN2B,O60939
ENSG00000149577,ENSMUSG00000034908,Sidt2,Q8CIF6,SIDT2,Q8NBJ9
ENSG00000149582,ENSMUSG00000002032,Tmem25,Q9DCF1,TMEM25,Q86YD3
ENSG00000149591,ENSMUSG00000032085,Tagln,P37804,TAGLN,Q01995
ENSG00000149596,ENSMUSG00000017817,Jph2,Q9ET78,JPH2,Q9BR39
ENSG00000149599,ENSMUSG00000042662,Dusp15,Q8R4V2,DUSP15,Q9H1R2
ENSG00000149600,ENSMUSG00000056941,Commd7,Q8BG94,COMMD7,Q86VX2
ENSG00000149633,ENSMUSG00000037813,D630003M21Rik,Q8BWG4,KIAA1755,Q5JYT7
ENSG00000149634,ENSMUSG00000017767,Spata25,Q9DA57,SPATA25,Q9BR10
ENSG00000149635,ENSMUSG00000027670,Ocstamp,Q9D611,OCSTAMP,Q9BR26
ENSG00000149636,ENSMUSG00000027635,Dsn1,Q9CYC5,DSN1,Q9H410
ENSG00000149646,ENSMUSG00000038085,Cnbd2,Q9D5U8,CNBD2,Q96M20
ENSG00000149651,ENSMUSG00000017310,Spint4,Q9D263,SPINT4,Q6UDR6
ENSG00000149654,ENSMUSG00000053166,Cdh22,Q9WTP5,CDH22,Q9UJ99
ENSG00000149657,ENSMUSG00000039108,Lsm14b,Q8CGC4,LSM14B,Q9BX40
ENSG00000149658,ENSMUSG00000038848,Ythdf1,P59326,YTHDF1,Q9BYJ9
ENSG00000149679,ENSMUSG00000038990,Cables2,Q8K3M5,CABLES2,Q9BTV7
ENSG00000149716,ENSMUSG00000031072,LTO1,Q8CH62,LTO1,Q8WV07
ENSG00000149735,ENSMUSG00000024784,Gpha2,Q925Q5,GPHA2,Q96T91
ENSG00000149742,ENSMUSG00000024757,Slc22a19,Q8VCA0,SLC22A9,Q8IVM8
ENSG00000149742,ENSMUSG00000067656,Slc22a27,Q76M72,SLC22A9,Q8IVM8
ENSG00000149743,ENSMUSG00000047656,Trpt1,Q8K3A2,TRPT1,Q86TN4
ENSG00000149761,ENSMUSG00000037349,Nudt22,Q9DD16,NUDT22,Q9BRQ3
ENSG00000149781,ENSMUSG00000024965,Fermt3,Q8K1B8,FERMT3,Q86UX7
ENSG00000149782,ENSMUSG00000024960,Plcb3,P51432,PLCB3,Q01970
ENSG00000149792,ENSMUSG00000007338,Mrpl49,Q9CQ40,MRPL49,Q13405
ENSG00000149798,ENSMUSG00000045664,Cdc42ep2,Q8JZX9,CDC42EP2,O14613
ENSG00000149806,ENSMUSG00000038274,Fau,P62862,FAU,P62861
ENSG00000149809,ENSMUSG00000024799,Tm7sf2,Q71KT5,TM7SF2,O76062
ENSG00000149823,ENSMUSG00000024797,Vps51,Q3UVL4,VPS51,Q9UID3
ENSG00000149922,ENSMUSG00000030699,Tbx6,P70327,TBX6,O95947
ENSG00000149923,ENSMUSG00000030697,Ppp4c,P97470,PPP4C,P60510
ENSG00000149925,ENSMUSG00000030695,Aldoa,P05064,ALDOA,P04075
ENSG00000149926,ENSMUSG00000058966,Tlcd3b,Q7TNV1,TLCD3B,Q71RH2
ENSG00000149927,ENSMUSG00000052301,Doc2a,Q7TNF0,DOC2A,Q14183
ENSG00000149929,ENSMUSG00000042606,Hirip3,Q8BLH7,HIRIP3,Q9BW71
ENSG00000149930,ENSMUSG00000059981,Taok2,Q6ZQ29,TAOK2,Q9UL54
ENSG00000149932,ENSMUSG00000060538,Tmem219,Q9D123,TMEM219,Q86XT9
ENSG00000149948,ENSMUSG00000056758,Hmga2,P52927,HMGA2,P52926
ENSG00000149968,ENSMUSG00000043613,Mmp3,P28862,MMP3,P08254
ENSG00000149970,ENSMUSG00000025658,Cnksr2,Q80YA9,CNKSR2,Q8WXI2
ENSG00000149972,ENSMUSG00000039488,Cntn5,P68500,CNTN5,O94779
ENSG00000150048,ENSMUSG00000033082,Clec1a,Q8BWY2,CLEC1A,Q8NC01
ENSG00000150054,ENSMUSG00000057440,Mpp7,Q8BVD5,MPP7,Q5T2T1
ENSG00000150093,ENSMUSG00000025809,Itgb1,P09055,ITGB1,P05556
ENSG00000150201,ENSMUSG00000004988,Fxyd4,Q9D2W0,FXYD4,P59646
ENSG00000150275,ENSMUSG00000052613,Pcdh15,Q99PJ1,PCDH15,Q96QU1
ENSG00000150281,ENSMUSG00000042340,Ctf1,Q60753,CTF1,Q16619
ENSG00000150316,ENSMUSG00000004096,Cwc15,Q9JHS9,CWC15,Q9P013
ENSG00000150337,ENSMUSG00000015947,Fcgr1,P26151,FCGR1A,P12314
ENSG00000150347,ENSMUSG00000019947,Arid5b,Q8BM75,ARID5B,Q14865
ENSG00000150361,ENSMUSG00000022076,Klhl1,Q9JI74,KLHL1,Q9NR64
ENSG00000150394,ENSMUSG00000036510,Cdh8,P97291,CDH8,P55286
ENSG00000150401,ENSMUSG00000038506,Dcun1d2,Q8BZJ7,DCUN1D2,Q6PH85
ENSG00000150403,ENSMUSG00000038497,Tmco3,Q8BH01,TMCO3,Q6UWJ1
ENSG00000150433,ENSMUSG00000032121,Tmem218,Q9CQ44,TMEM218,A2RU14
ENSG00000150456,ENSMUSG00000021951,Eef1akmt1,Q9CY45,EEF1AKMT1,Q8WVE0
ENSG00000150457,ENSMUSG00000021959,Lats2,Q7TSJ6,LATS2,Q9NRM7
ENSG00000150471,ENSMUSG00000037605,Adgrl3,Q80TS3,ADGRL3,Q9HAR2
ENSG00000150477,ENSMUSG00000033632,AW554918,Q6NZK5,KIAA1328,Q86T90
ENSG00000150540,ENSMUSG00000026986,Hnmt,Q91VF2,HNMT,P50135
ENSG00000150551,ENSMUSG00000026344,Lypd1,Q8BLC3,LYPD1,Q8N2G4
ENSG00000150556,ENSMUSG00000026765,Lypd6b,Q9D7F2,LYPD6B,Q8NI32
ENSG00000150593,ENSMUSG00000024975,Pdcd4,Q61823,PDCD4,Q53EL6
ENSG00000150594,ENSMUSG00000033717,Adra2a,Q01338,ADRA2A,P08913
ENSG00000150625,ENSMUSG00000031517,Gpm6a,P35802,GPM6A,P51674
ENSG00000150628,ENSMUSG00000031518,Spata4,Q8K3V1,SPATA4,Q8NEY3
ENSG00000150630,ENSMUSG00000031520,Vegfc,P97953,VEGFC,P49767
ENSG00000150637,ENSMUSG00000034028,Cd226,Q8K4F0,CD226,Q15762
ENSG00000150667,ENSMUSG00000027344,Fsip1,Q9D3V5,FSIP1,Q8NA03
ENSG00000150672,ENSMUSG00000052572,Dlg2,Q91XM9,DLG2,Q15700
ENSG00000150676,ENSMUSG00000030617,Ccdc83,Q9D4V3,CCDC83,Q8IWF9
ENSG00000150681,ENSMUSG00000026357,Rgs18,Q99PG4,RGS18,Q9NS28
ENSG00000150687,ENSMUSG00000039405,Prss23,Q9D6X6,PRSS23,O95084
ENSG00000150712,ENSMUSG00000039458,Mtmr12,Q80TA6,MTMR12,Q9C0I1
ENSG00000150722,ENSMUSG00000034683,Ppp1r1c,Q8BKK4,PPP1R1C,Q8WVI7
ENSG00000150750,ENSMUSG00000036027,Pou2af2,Q9D8Q6,POU2AF2,Q8IXP5
ENSG00000150753,ENSMUSG00000022234,Cct5,P80316,CCT5,P48643
ENSG00000150756,ENSMUSG00000039065,Atpsckmt,Q9D1Z3,ATPSCKMT,Q6P4H8
ENSG00000150760,ENSMUSG00000058325,Dock1,Q8BUR4,DOCK1,Q14185
ENSG00000150764,ENSMUSG00000032064,Dixdc1,Q80Y83,DIXDC1,Q155Q3
ENSG00000150768,ENSMUSG00000000168,Dlat,Q8BMF4,DLAT,P10515
ENSG00000150773,ENSMUSG00000000167,Pih1d2,Q8CHR9,PIH1D2,Q8WWB5
ENSG00000150779,ENSMUSG00000039016,Timm8b,P62077,TIMM8B,Q9Y5J9
ENSG00000150782,ENSMUSG00000039217,Il18,P70380,IL18,Q14116
ENSG00000150783,ENSMUSG00000032065,Tex12,Q9CR81,TEX12,Q9BXU0
ENSG00000150787,ENSMUSG00000032067,Pts,Q9R1Z7,PTS,Q03393
ENSG00000150867,ENSMUSG00000026737,Pip4k2a,O70172,PIP4K2A,P48426
ENSG00000150893,ENSMUSG00000037016,Frem2,Q6NVD0,FREM2,Q5SZK8
ENSG00000150907,ENSMUSG00000044167,Foxo1,Q9R1E0,FOXO1,Q12778
ENSG00000150938,ENSMUSG00000024074,Crim1,Q9JLL0,CRIM1,Q9NZV1
ENSG00000150967,ENSMUSG00000029408,Abcb9,Q9JJ59,ABCB9,Q9NP78
ENSG00000150977,ENSMUSG00000029401,Rilpl2,Q99LE1,RILPL2,Q969X0
ENSG00000150991,ENSMUSG00000008348,Ubc,P0CG50,UBC,P0CG48
ENSG00000150995,ENSMUSG00000030102,Itpr1,P11881,ITPR1,Q14643
ENSG00000151006,ENSMUSG00000044139,Prss53,Q571E5,PRSS53,Q2L4Q9
ENSG00000151012,ENSMUSG00000027737,Slc7a11,Q9WTR6,SLC7A11,Q9UPY5
ENSG00000151014,ENSMUSG00000023087,Noct,O35710,NOCT,Q9UK39
ENSG00000151023,ENSMUSG00000026679,Enkur,Q6SP97,ENKUR,Q8TC29
ENSG00000151025,ENSMUSG00000045967,Gpr158,Q8C419,GPR158,Q5T848
ENSG00000151033,ENSMUSG00000024233,Lyzl1,Q9CPX3,LYZL2,Q7Z4W2
ENSG00000151062,ENSMUSG00000041460,Cacna2d4,Q5RJF7,CACNA2D4,Q7Z3S7
ENSG00000151065,ENSMUSG00000041477,Dcp1b,Q3U564,DCP1B,Q8IZD4
ENSG00000151067,ENSMUSG00000051331,Cacna1c,Q01815,CACNA1C,Q13936
ENSG00000151079,ENSMUSG00000038077,Kcna6,Q61923,KCNA6,P17658
ENSG00000151090,ENSMUSG00000021779,Thrb,P37242,THRB,P10828
ENSG00000151092,ENSMUSG00000021785,Ngly1,Q9JI78,NGLY1,Q96IV0
ENSG00000151093,ENSMUSG00000021786,Oxsm,Q9D404,OXSM,Q9NWU1
ENSG00000151116,ENSMUSG00000043262,Uevld,Q3U1V6,UEVLD,Q8IX04
ENSG00000151117,ENSMUSG00000010307,Tmem86a,Q9D8N3,TMEM86A,Q8N2M4
ENSG00000151131,ENSMUSG00000020255,Nopchap1,Q9CX66,NOPCHAP1,Q8N5I9
ENSG00000151135,ENSMUSG00000060935,Tmem263,Q9DAM7,TMEM263,Q8WUH6
ENSG00000151136,ENSMUSG00000020042,Abtb3,Q6GQW0,ABTB3,A6QL63
ENSG00000151148,ENSMUSG00000029577,Ube3b,Q9ES34,UBE3B,Q7Z3V4
ENSG00000151150,ENSMUSG00000069601,Ank3,G5E8K5,ANK3,Q12955
ENSG00000151151,ENSMUSG00000060733,Ipmk,Q7TT16,IPMK,Q8NFU5
ENSG00000151164,ENSMUSG00000038569,Rad9b,Q6WBX7,RAD9B,Q6WBX8
ENSG00000151176,ENSMUSG00000029598,Plbd2,Q3TCN2,PLBD2,Q8NHP8
ENSG00000151208,ENSMUSG00000021782,Dlg5,E9Q9R9,DLG5,Q8TDM6
ENSG00000151224,ENSMUSG00000037798,Mat1a,Q91X83,MAT1A,Q00266
ENSG00000151229,ENSMUSG00000036298,Slc2a13,Q3UHK1,SLC2A13,Q96QE2
ENSG00000151233,ENSMUSG00000036197,Gxylt1,Q3UHH8,GXYLT1,Q4G148
ENSG00000151239,ENSMUSG00000022451,Twf1,Q91YR1,TWF1,Q12792
ENSG00000151247,ENSMUSG00000028156,Eif4e,P63073,EIF4E,P06730
ENSG00000151276,ENSMUSG00000045095,Magi1,Q6RHR9,MAGI1,Q96QZ7
ENSG00000151287,ENSMUSG00000026049,Tex30,Q3TUU5,TEX30,Q5JUR7
ENSG00000151292,ENSMUSG00000073563,Csnk1g3,Q8C4X2,CSNK1G3,Q9Y6M4
ENSG00000151304,ENSMUSG00000024528,Srfbp1,Q9CZ91,SRFBP1,Q8NEF9
ENSG00000151327,ENSMUSG00000094103,Fam177a2,Q8BR63,FAM177A1,Q8N128
ENSG00000151332,ENSMUSG00000021028,Mbip,Q99LQ1,MBIP,Q9NS73
ENSG00000151348,ENSMUSG00000027198,Ext2,P70428,EXT2,Q93063
ENSG00000151353,ENSMUSG00000043061,Tmem18,Q3TUD9,TMEM18,Q96B42
ENSG00000151360,ENSMUSG00000020636,Allc,Q9JHX6,ALLC,Q8N6M5
ENSG00000151365,ENSMUSG00000035686,Thrsp,Q62264,THRSP,Q92748
ENSG00000151366,ENSMUSG00000030647,Ndufc2,Q9CQ54,NDUFC2,O95298
ENSG00000151376,ENSMUSG00000030621,Me3,Q8BMF3,ME3,Q16798
ENSG00000151379,ENSMUSG00000047002,Msgn1,Q9JK54,MSGN1,A6NI15
ENSG00000151388,ENSMUSG00000047497,Adamts12,Q811B3,ADAMTS12,P58397
ENSG00000151413,ENSMUSG00000035142,Nubpl,Q9CWD8,NUBPL,Q8TB37
ENSG00000151414,ENSMUSG00000026393,Nek7,Q9ES74,NEK7,Q8TDX7
ENSG00000151418,ENSMUSG00000026394,Atp6v1g3,Q8BMC1,ATP6V1G3,Q96LB4
ENSG00000151422,ENSMUSG00000000127,Fer,P70451,FER,P16591
ENSG00000151445,ENSMUSG00000021038,Vipas39,Q8BGQ1,VIPAS39,Q9H9C1
ENSG00000151461,ENSMUSG00000043241,Upf2,A2AT37,UPF2,Q9HAU5
ENSG00000151465,ENSMUSG00000039128,Cdc123,Q8CII2,CDC123,O75794
ENSG00000151466,ENSMUSG00000059834,Sclt1,G5E861,SCLT1,Q96NL6
ENSG00000151468,ENSMUSG00000026676,Ccdc3,Q9D6Y1,CCDC3,Q9BQI4
ENSG00000151470,ENSMUSG00000025766,D3Ertd751e,Q8BGN2,C4orf33,Q8N1A6
ENSG00000151474,ENSMUSG00000026657,Frmd4a,Q8BIE6,FRMD4A,Q9P2Q2
ENSG00000151475,ENSMUSG00000069041,Slc25a31,Q3V132,SLC25A31,Q9H0C2
ENSG00000151490,ENSMUSG00000030223,Ptpro,E9Q612,PTPRO,Q16827
ENSG00000151491,ENSMUSG00000015766,Eps8,Q08509,EPS8,Q12929
ENSG00000151500,ENSMUSG00000035443,Thyn1,Q91YJ3,THYN1,Q9P016
ENSG00000151502,ENSMUSG00000031988,Vps26b,Q8C0E2,VPS26B,Q4G0F5
ENSG00000151532,ENSMUSG00000024983,Vti1a,O89116,VTI1A,Q96AJ9
ENSG00000151552,ENSMUSG00000015806,Qdpr,Q8BVI4,QDPR,P09417
ENSG00000151553,ENSMUSG00000033478,Fhip2a,Q8CDM8,FHIP2A,Q5W0V3
ENSG00000151572,ENSMUSG00000035189,Ano4,Q8C5H1,ANO4,Q32M45
ENSG00000151575,ENSMUSG00000090626,Tex9,Q9D845,TEX9,Q8N6V9
ENSG00000151577,ENSMUSG00000022705,Drd3,P30728,DRD3,P35462
